congress,chamber,rollnumber,icpsr,cast_code,prob
117,Senate,1,14226.0,6,97.6
117,Senate,1,14307.0,6,100.0
117,Senate,1,14435.0,6,100.0
117,Senate,1,14858.0,6,100.0
117,Senate,1,14871.0,6,100.0
117,Senate,1,14921.0,6,95.9
117,Senate,1,15015.0,6,100.0
117,Senate,1,15021.0,6,100.0
117,Senate,1,15408.0,6,100.0
117,Senate,1,15424.0,6,90.1
117,Senate,1,20101.0,6,89.1
117,Senate,1,20146.0,6,97.3
117,Senate,1,20330.0,6,100.0
117,Senate,1,20351.0,6,84.3
117,Senate,1,20707.0,6,100.0
117,Senate,1,20713.0,6,100.0
117,Senate,1,20735.0,6,100.0
117,Senate,1,20919.0,6,95.1
117,Senate,1,20923.0,6,100.0
117,Senate,1,20930.0,6,100.0
117,Senate,1,20932.0,6,100.0
117,Senate,1,20953.0,6,88.0
117,Senate,1,21133.0,6,95.5
117,Senate,1,21166.0,6,85.7
117,Senate,1,21173.0,6,87.2
117,Senate,1,21300.0,6,99.9
117,Senate,1,21301.0,6,85.9
117,Senate,1,21325.0,6,99.9
117,Senate,1,21338.0,6,89.7
117,Senate,1,21350.0,6,88.6
117,Senate,1,21734.0,1,14.0
117,Senate,1,21743.0,6,98.5
117,Senate,1,29142.0,6,100.0
117,Senate,1,29147.0,6,100.0
117,Senate,1,29345.0,6,87.2
117,Senate,1,29373.0,6,100.0
117,Senate,1,29386.0,6,98.5
117,Senate,1,29389.0,6,100.0
117,Senate,1,29534.0,6,90.4
117,Senate,1,29548.0,6,96.1
117,Senate,1,29566.0,6,98.8
117,Senate,1,29722.0,6,92.4
117,Senate,1,29732.0,6,100.0
117,Senate,1,29735.0,6,93.6
117,Senate,1,29754.0,6,91.7
117,Senate,1,29935.0,6,92.1
117,Senate,1,29940.0,6,100.0
117,Senate,1,39310.0,6,100.0
117,Senate,1,40300.0,6,99.8
117,Senate,1,40305.0,6,95.1
117,Senate,1,40700.0,6,100.0
117,Senate,1,40702.0,6,99.7
117,Senate,1,40703.0,6,99.8
117,Senate,1,40704.0,6,100.0
117,Senate,1,40707.0,6,87.2
117,Senate,1,40902.0,6,82.0
117,Senate,1,40906.0,6,100.0
117,Senate,1,40908.0,6,100.0
117,Senate,1,40909.0,6,100.0
117,Senate,1,40910.0,6,100.0
117,Senate,1,40915.0,6,96.5
117,Senate,1,40916.0,6,100.0
117,Senate,1,41101.0,6,100.0
117,Senate,1,41102.0,6,90.5
117,Senate,1,41104.0,6,76.7
117,Senate,1,41107.0,6,86.8
117,Senate,1,41110.0,6,76.7
117,Senate,1,41111.0,6,89.0
117,Senate,1,41112.0,6,100.0
117,Senate,1,41300.0,6,100.0
117,Senate,1,41301.0,6,100.0
117,Senate,1,41302.0,6,88.2
117,Senate,1,41304.0,1,20.3
117,Senate,1,41305.0,6,100.0
117,Senate,1,41308.0,6,100.0
117,Senate,1,41500.0,6,92.0
117,Senate,1,41502.0,6,91.9
117,Senate,1,41503.0,6,88.4
117,Senate,1,41504.0,6,97.4
117,Senate,1,41505.0,6,96.2
117,Senate,1,41700.0,6,98.4
117,Senate,1,41701.0,6,100.0
117,Senate,1,41702.0,6,100.0
117,Senate,1,41703.0,1,7.6
117,Senate,1,41706.0,6,100.0
117,Senate,1,41707.0,1,12.3
117,Senate,1,41900.0,6,65.8
117,Senate,1,41901.0,1,17.5
117,Senate,1,41902.0,6,94.0
117,Senate,1,41903.0,6,81.9
117,Senate,1,41904.0,6,93.4
117,Senate,1,41905.0,6,99.2
117,Senate,1,42100.0,6,85.9
117,Senate,1,42101.0,6,100.0
117,Senate,1,42102.0,1,26.9
117,Senate,1,49300.0,6,100.0
117,Senate,1,49308.0,6,100.0
117,Senate,1,49703.0,6,100.0
117,Senate,1,94659.0,6,79.9
117,Senate,1,99912.0,1,6.2
117,Senate,2,14226.0,6,96.2
117,Senate,2,14307.0,6,100.0
117,Senate,2,14435.0,6,100.0
117,Senate,2,14858.0,6,100.0
117,Senate,2,14871.0,6,100.0
117,Senate,2,14921.0,6,94.1
117,Senate,2,15015.0,6,100.0
117,Senate,2,15021.0,6,100.0
117,Senate,2,15408.0,6,100.0
117,Senate,2,15424.0,6,87.3
117,Senate,2,20101.0,6,87.5
117,Senate,2,20146.0,6,96.2
117,Senate,2,20330.0,6,100.0
117,Senate,2,20351.0,6,81.4
117,Senate,2,20707.0,6,100.0
117,Senate,2,20713.0,6,100.0
117,Senate,2,20735.0,6,100.0
117,Senate,2,20919.0,6,92.8
117,Senate,2,20923.0,6,100.0
117,Senate,2,20930.0,6,100.0
